dni_propietario,id_mascota
24695248,1
33086654,2
39042873,3
81031187,4
32766213,5
28146679,6
41409497,7
76751764,8
62636074,9
31105626,10
56516130,11
37021855,12
71628403,13
40383644,14
79830584,15
22529934,16
22023780,17
89904919,18
84286240,19
75369134,20
35121377,21
17131967,22
44515762,23
18365983,24
92715818,25
39378782,26
97281053,27
37542841,28
24092643,29
35659181,30
84706434,31
66110189,32
23251435,33
36868895,34
66905084,35
55688520,36
76627680,37
67049579,38
23674836,39
65361352,40
72794095,41
87505856,42
99987921,43
86656173,44
64451138,45
76884670,46
67947347,47
47716130,48
63478354,49
89656509,50
31190408,51
74810742,52
87398227,53
78980505,54
34241063,55
72289271,56
43181339,57
44576502,58
98367926,59
63594887,60
64279586,61
81945482,62
99778488,63
75838883,64
22551971,65
20391175,66
84300044,67
35617475,68
26976000,69
74040252,70
12153994,71
38347281,72
67819577,73
48004140,74
57947467,75
59397900,76
99216291,77
10137528,78
10366245,79
13981197,80
43958878,81
80928973,82
59847828,83
32263858,84
64652439,85
97336015,86
89684878,87
33037723,88
29819262,89
67848443,90
46015264,91
96609333,92
26986459,93
99030900,94
27623151,95
41214460,96
22216647,97
54855581,98
30557556,99
63634950,100
29297460,101
64775611,102
82192148,103
27446276,104
10603436,105
56958890,106
80960892,107
76997403,108
53185983,109
82892683,110
69903055,111
26105394,112
15432754,113
24328650,114
66212278,115
91356758,116
44995235,117
74185117,118
30925101,119
53300119,120
99679406,121
42213247,122
11248198,123
56221648,124
76656493,125
53705739,126
83486435,127
38905572,128
82928068,129
45219537,130
61017388,131
50232423,132
65605116,133
87197274,134
28463684,135
45916303,136
79120476,137
21230965,138
93735347,139
42658027,140
58872582,141
58531891,142
30090876,143
40629793,144
99890103,145
92777004,146
22252263,147
57787967,148
11971310,149
60566741,150
48331462,151
41956792,152
40775747,153
42910538,154
22843094,155
22069377,156
31391163,157
27246366,158
26199268,159
67662341,160
97664025,161
11097112,162
82443303,163
21286848,164
32084909,165
12814079,166
66674103,167
42785883,168
99029009,169
57385766,170
69380347,171
