dni_persona,telefono_fijo
74842791,79134
69855034,90317
10206364,56472
61788445,96066
77965649,89666
95061787,89933
21065465,99151
61924108,15947
75335517,78402
62158303,33062
15076076,27114
30957501,52850
99725236,45295
98770259,39015
39915025,74635
75062416,49132
30702438,98100
86322048,42223
37792750,10563
58879690,17972
97927112,89875
39025050,73264
71844391,55368
98617114,86905
48103276,51452
31578948,80238
86145261,36187
65005742,72573
24309235,97857
11466749,93176
76428777,55704
44218453,36122
67440522,14930
79991997,52069
86717653,97698
51212744,71050
75666124,28722
86028435,48682
38963092,26572
81769153,54983
27569874,23095
72025052,26131
92756491,78007
53756949,55030
46089314,17457
23959135,50292
40303928,21884
81388848,59355
38003587,89460
65071130,69982
33568511,66742
75150276,80376
13787771,51610
14433390,79591
36846821,92652
37361244,66622
39819579,30373
88878566,27155
29286159,93817
32070103,56177
81320792,42959
17438013,55676
85014462,29680
48201850,89771
49520310,44370
18668907,30903
46692660,85035
55306862,14895
59909328,88612
12619368,67000
76740364,99962
28331671,45052
11081850,53295
77636464,34296
58596656,43674
79874863,83565
46725813,35367
10144423,98677
96374343,55650
32961636,16791
49835823,94441
65000535,85449
66472979,66377
53840772,29618
72385199,44902
95198633,42313
68132932,19024
91347689,63075
31254730,93516
84864432,26073
79977277,62087
96691032,26588
42307584,68522
20039317,44887
85996871,64833
65441288,58315
32057414,98809
53582183,16705
16169873,26942
74362819,24158
15779632,41963
76647064,17644
59056588,82256
14096073,31068
68015159,52558
19485489,51993
93541527,11108
19400393,49303
84994263,64947
88209127,44269
30959549,96276
70298286,70954
32416255,47531
26331786,95453
62923138,23534
92887994,36295
30706123,91480
40732338,54518
46469482,18752
74865319,72637
44012556,48848
42473362,67522
64480963,24120
77869659,75253
79166488,93830
94867489,49308
55162231,62258
51252660,74053
37799357,83519
83415072,62619
43887256,34889
46624435,28129
43125838,47606
45016628,91998
91973992,98628
68832950,39542
27162731,97089
47937918,88049
80923417,63757
74531058,49069
91388042,99083
38043120,24253
21012358,58906
11778621,65126
17159771,31804
14339426,37312
67919975,98029
31244148,25346
39567474,71781
55667168,52375
61252501,73562
72377122,32921
45622200,20636
80740321,85085
95137467,39236
92923225,98538
14483616,10963
56332020,14091
51833369,31837
39105153,47237
49176296,48821
49100956,11898
14414156,27394
79278860,32142
88826946,78817
78424929,86415
56266243,27968
70034068,43073
78968205,93192
15623356,32260
82619785,93483
13178256,39995
73909515,53148
65735412,56288
76627553,66030
76224474,12518
27865533,43985
25468316,14300
11052136,18264
13567939,29339
73469543,82526
16314611,75666
26873343,10071
11877651,44235
21701228,91701
78153610,87599
71123269,50280
72684533,50316
36115287,76951
54251131,28058
81773592,36998
34733458,61124
55377346,57066
18523351,98004
80946472,11427
64855873,29183
38777326,34173
69395893,83013
39807404,54724
79355905,64837
58041099,42996
46473375,26499
13080157,52071
20417325,33137
75654794,80257
85125592,33602
59846997,38748
94206925,52823
51091899,68204
66222586,43874
63621749,38300
43618911,55352
22499045,40079
36157342,96156
43029803,73206
81869998,72008
90394186,65193
30328939,83903
92112678,71704
93105250,20592
40755075,16749
13804418,51661
53137270,76494
54543441,73173
63501688,55804
88652724,14808
45380057,12413
11413976,76937
81680931,95420
18069277,45234
79925211,35403
69028197,30266
85536234,78253
92668668,65484
86210765,54969
48915444,87939
43655052,68662
69969106,16054
21546013,27931
46900946,82594
50494764,60982
92925413,15496
18550714,92189
34936324,70329
39524988,33369
78347148,63080
61920395,77866
73586381,16482
81730307,42123
91434258,85792
83766737,41403
91478246,44961
17049041,70075
41101468,78450
24286961,98038
74211642,95958
90021285,64965
87075779,67506
45001603,22217
74686216,81775
95673160,48939
14792386,81238
84340716,23183
10448619,68538
63665661,50985
86819485,36126
95507450,96769
24406419,40985
20241337,55122
32797562,44374
63421636,37086
76366875,65381
42929439,13863
74291880,46813
88841532,88590
73756614,80304
77682110,32794
76221312,63152
28006026,17915
26590341,39511
18567066,56889
17112754,10332
81893477,54039
19631711,25375
86877741,56943
21894049,84397
66877533,65588
53763372,67255
25309045,56302
36039097,91607
93589189,39099
41110193,73157
31751930,38686
73501909,94774
92796381,82908
29276139,65681
12538687,59323
62180130,92018
20914404,69126
63958509,66812
96327996,17312
13268124,68826
95170508,23002
37797393,31875
85794274,73839
84808942,90046
50285015,22200
32052428,46693
95570216,64975
78565780,61019
28628750,75651
89535902,81025
70622379,59005
73647309,25287
47147876,43723
23229736,66229
35125707,25772
35124719,48571
15853964,12957
60510861,19165
88760468,89100
48892092,30955
48076124,77237
81132028,30379
15583022,42811
35073478,82874
69521887,87562
68082747,20618
31473392,51978
39587354,16722
57504373,64256
66278042,92252
57152331,44474
66339748,77466
47123654,25139
17354399,72647
91620927,63103
33343893,97663
79411775,98961
68483088,53353
69377584,80997
78047821,72137
38441981,77963
80484003,25832
56772880,18973
40811584,95596
66750958,34713
26132627,80898
93125094,77498
36847487,74494
66474945,70846
13111809,58364
52275693,79175
54119521,27866
70153687,32180
41802112,28939
88864603,33383
67547523,72007
66113855,16965
44421220,26980
33410115,83102
17614894,28992
97366956,15455
82899791,85903
24126419,86407
39345796,41909
91599938,53296
54709543,61904
61218992,62701
97995808,81575
67245116,77686
77802205,66992
42186939,39684
83188156,21344
46711608,31148
63619855,65724
70782999,37280
62299144,23287
91149406,33782
82317091,10923
60665701,76466
66927641,94955
94583813,37712
20461327,97373
81039607,11164
