id,dni_veterinario,hora,fecha,id_mascota,dni_recepcionista,estado,precio,motivo
1,46853875,09:00:00,2025-05-25,1,88885406,Realizada,132.52,Ducimus totam dolorem maxime.
2,23671460,12:30:00,2025-01-17,2,63421636,Realizada,234.01,Deserunt velit culpa dolore modi itaque.
3,87743386,17:15:00,2025-05-27,3,48024725,Realizada,75.27,Suscipit dolor facilis nihil aspernatur.
4,35892199,10:30:00,2025-01-27,4,21695089,Realizada,144.78,Perspiciatis id fugiat quo voluptatum.
5,59726098,15:45:00,2025-05-08,5,18567066,Realizada,259.11,Velit consequatur quibusdam minus.
6,98949653,10:30:00,2025-06-04,6,96937138,Cancelada,269.76,Eius quaerat sapiente quibusdam distinctio quae.
7,67009903,12:00:00,2025-04-23,7,14792386,Realizada,58.35,Enim dolor atque ex atque aut.
8,43016370,10:30:00,2025-05-12,8,86717653,Realizada,184.61,Quis illo ut a.
9,82985779,16:45:00,2025-06-23,9,54119521,Realizada,166.69,Vero consequatur incidunt.
10,35748136,17:00:00,2025-06-26,10,52275693,Cancelada,229.28,Voluptas facere nemo quibusdam et quibusdam.
11,18792073,08:45:00,2025-02-27,11,26540634,Realizada,50.53,Enim autem sit aut.
12,11593279,12:30:00,2025-05-19,12,30328939,Realizada,237.16,Hic ab explicabo corporis eos cupiditate.
13,13900309,14:00:00,2025-06-01,13,73469543,Realizada,76.86,Accusantium alias nihil ipsam quos.
14,82641774,16:00:00,2025-05-17,14,67919975,Realizada,115.95,Nobis recusandae quis vitae praesentium.
15,11320275,13:45:00,2025-03-26,15,92112678,Realizada,154.88,Voluptas quam facere laborum.
16,22041907,15:30:00,2025-02-20,16,42307584,Realizada,212.29,Ex vitae aperiam autem earum cupiditate.
17,90396659,15:30:00,2025-05-03,17,28331671,Pendiente,67.04,Necessitatibus animi laudantium quibusdam.
18,69198448,15:15:00,2025-03-19,18,24692099,Realizada,226.04,Eveniet voluptates ipsa officia laborum.
19,16952031,17:30:00,2025-04-11,19,82767639,Realizada,224.48,Ad libero cupiditate.
20,28426491,16:45:00,2025-06-12,20,70953217,Pendiente,295.61,Molestiae dicta doloremque facere voluptate magni consectetur.
21,10659513,11:15:00,2025-05-05,21,85434885,Realizada,81.45,Dolores voluptatem veritatis reprehenderit occaecati.
22,49863126,16:15:00,2025-03-03,22,51212744,Realizada,67.34,Sed rerum labore minima.
23,36850878,11:15:00,2025-02-26,23,20461327,Pendiente,251.92,Rem sit necessitatibus at ab.
24,90433164,10:00:00,2025-06-09,24,21695089,Pendiente,132.58,Vel reprehenderit quaerat.
25,35748136,10:15:00,2025-02-03,25,80946472,Pendiente,181.48,Debitis earum nam provident.
26,75598205,15:30:00,2025-06-25,26,69969106,Realizada,152.89,Commodi quas quas.
27,78297334,09:15:00,2025-02-21,27,66750958,Realizada,54.02,Aliquam voluptate deserunt ipsam esse.
28,65793295,15:45:00,2025-03-22,28,45622200,Pendiente,160.64,Cupiditate officiis perspiciatis id dolorem aspernatur.
29,67185675,16:00:00,2025-03-22,29,38441981,Realizada,77.16,Veniam voluptatibus quia totam.
30,35748136,15:00:00,2025-02-21,30,81893477,Realizada,146.2,Laborum nam molestiae laborum illo.
31,76218237,12:30:00,2025-02-17,31,14720430,Realizada,102.44,Illo occaecati perferendis quas asperiores.
32,94926858,16:00:00,2025-04-01,32,13111809,Realizada,158.29,Quisquam ut necessitatibus.
33,62097388,08:15:00,2025-06-01,33,72385199,Realizada,118.19,Ducimus voluptates ea tempora aliquam.
34,92656071,10:00:00,2025-03-04,34,15623356,Realizada,284.68,Maiores maiores itaque.
35,85811821,17:00:00,2025-04-29,35,49520310,Realizada,49.19,Quaerat debitis expedita voluptates quos.
36,16606032,12:45:00,2025-05-16,36,79278860,Realizada,205.91,Molestias culpa quae.
37,82607376,12:15:00,2025-06-07,37,11877651,Pendiente,140.67,Illum labore praesentium perferendis.
38,71045194,09:00:00,2025-01-29,38,21065465,Realizada,295.09,Perspiciatis error sequi.
39,28539989,15:30:00,2025-04-28,39,94583813,Pendiente,286.06,At sit maiores necessitatibus nisi.
40,11766017,16:45:00,2025-01-22,40,34936324,Realizada,144.57,Sit earum sint ratione explicabo.
41,45596105,11:45:00,2024-12-29,41,88878566,Cancelada,263.63,Quisquam maiores voluptatem impedit.
42,75598205,11:00:00,2025-04-14,42,79991997,Realizada,99.85,Culpa ipsa non.
43,17219318,11:15:00,2025-04-08,43,58041099,Pendiente,161.92,Suscipit esse quod.
44,25488514,17:30:00,2024-12-29,44,76224474,Realizada,255.42,Similique laboriosam cum illum tenetur.
45,96560090,13:30:00,2025-02-19,45,98770259,Pendiente,58.21,Et nemo iure nobis minima.
46,43677268,09:00:00,2025-02-25,46,46692660,Pendiente,271.98,Ullam voluptatibus odit maiores tenetur dolore.
47,25877230,16:15:00,2025-04-24,47,48103276,Realizada,257.4,Recusandae explicabo dolorem laborum.
48,94026858,08:00:00,2024-12-29,48,77682110,Realizada,88.64,Adipisci similique inventore.
49,74360076,11:15:00,2025-01-23,49,17438013,Pendiente,290.87,Repellendus maiores totam cumque nostrum optio.
50,24245024,08:45:00,2025-04-04,50,86819485,Realizada,127.02,Ipsum fugit in itaque explicabo.
51,90328106,09:30:00,2025-04-07,51,63454191,Realizada,233.97,Atque ad dolorum at accusamus perspiciatis.
52,38114239,17:30:00,2025-02-16,52,69714061,Realizada,31.98,Autem nostrum ipsam.
53,98960844,14:00:00,2025-02-15,53,29286159,Pendiente,148.16,Mollitia voluptas neque tempora sit.
54,18792073,10:45:00,2025-05-17,54,19073877,Realizada,172.11,Harum ipsa laboriosam sapiente repudiandae quam.
55,52489585,09:30:00,2025-04-26,55,26873343,Realizada,183.44,Asperiores voluptatum dolorum.
56,74579141,16:45:00,2025-03-23,56,10206364,Realizada,146.98,Facilis provident beatae quod eos.
57,42447608,14:15:00,2025-03-09,57,26069821,Realizada,61.87,Eveniet veniam omnis sed architecto illum.
58,74185782,08:30:00,2025-05-07,58,45811480,Realizada,205.77,Itaque error a vel dolor et.
59,77708883,10:45:00,2025-03-16,59,55377346,Realizada,204.08,Corrupti officiis temporibus tempore.
60,47826423,10:45:00,2025-04-19,60,34936324,Realizada,119.94,Voluptate impedit blanditiis eius tempora.
61,56990580,13:45:00,2025-02-14,61,49100956,Pendiente,86.11,Unde quas accusamus excepturi sit velit.
62,98102773,12:15:00,2025-02-01,62,27162731,Realizada,108.64,Cupiditate aut ut aspernatur.
63,37316999,08:45:00,2025-04-02,63,59056588,Realizada,101.92,Iusto sunt consequatur aperiam nisi perspiciatis.
64,40152657,15:45:00,2025-02-10,64,95137467,Realizada,71.5,Ad sit magnam voluptates.
65,45463991,11:30:00,2025-06-08,65,81879376,Realizada,106.48,Maxime est esse necessitatibus.
66,73620866,09:30:00,2025-06-10,66,58353010,Realizada,287.06,Magni voluptates recusandae.
67,74569519,10:30:00,2025-04-15,67,65005742,Realizada,263.29,Alias optio optio recusandae.
68,72282125,11:15:00,2025-05-12,68,65707817,Realizada,244.62,Voluptates voluptates explicabo consequatur in error.
69,46046965,08:15:00,2025-03-18,69,74686216,Pendiente,176.73,Ratione neque recusandae sapiente.
70,38752753,11:30:00,2025-01-28,70,31244148,Pendiente,101.89,Voluptates deserunt quibusdam fugiat voluptatum fugiat.
71,15302425,13:45:00,2025-06-26,71,48201850,Realizada,132.36,Ex eveniet deleniti blanditiis architecto perferendis.
72,86407349,10:45:00,2025-02-24,72,72025052,Realizada,168.02,Inventore maiores ex corrupti.
73,40553961,09:00:00,2024-12-29,73,52597734,Realizada,210.16,Eius consectetur necessitatibus incidunt.
74,88321178,13:15:00,2025-04-01,74,91620927,Realizada,165.21,Aperiam quibusdam cum natus.
