administrador,ruc,nombre
53791468,83005990812,Cerro y asociados S.L.L.
60005039,99946166282,Desarrollo Ferrer & Asociados S.Coop.
86995082,40395582618,Sosa y Flores S.L.
60005039,25538727635,Cadenas & Asociados S.Coop.
11557278,15408998343,Fábregas y Cervantes S.L.
13426334,12065976974,Inmobiliaria Globales S.A.T.
51450233,58049329289,Distribuciones Galán S.Coop.
56031104,29330601817,Gallego y Segarra S.A.
90635502,66002744844,Instalaciones Padilla S.Coop.
78492224,32111150816,Suministros MPJW S.Coop.
55206061,54806339625,Distribuciones BXTF S.L.
76940504,26808762135,Desarrollo Barranco & Asociados S.A.
46586390,25926317117,Remedios Acero Muñoz S.L.N.E
73033423,95456681228,Logística LCGZ S.Com.
93845963,54148501967,Construcción GKK S.C.P
14581323,83123513686,Español y asociados S.Com.
86511598,11254715575,Victoriano Alonso Gargallo S.A.
53133385,38059655605,Toledo & Asociados S.Com.
21564096,73106214590,Hnos Redondo S.A.T.
81237849,85999989186,Taboada & Asociados S.A.
60029431,11243706601,Comercializadora Girona S.L.
10215212,54260070577,Soluciones Zapata S.Com.
47692840,86334862929,Restauración del Noroeste S.Com.
76359520,97485009534,Ortega y asociados S.L.N.E
63459626,10533113005,Sergio Mercader Tur S.Com.
13885791,80853761587,Maristela Enríquez Isern S.A.
11557278,83826565005,Sabas Lerma Llamas S.L.N.E
31355375,20521068534,Familia Rius S.L.N.E
78118989,21370617176,Inversiones Ochoa & Asociados S.Com.
56340310,52672222650,Restauración Sans S.L.N.E
12069035,93201023020,Alcalá y asociados S.L.U.
11221468,79497735144,Verdugo y Sacristán S.L.
88924645,17059362412,Construcción BRV S.L.U.
81957023,11868787604,Consultoría Españolas S.L.
56027724,21476873916,Hnos Rodrigo S.A.
45801062,54967800324,Grupo Navarrete S.L.L.
27659932,42624858365,Supermercados VNOY S.L.N.E
39502539,39633169062,Desarrollo ZOR S.L.
97136949,86033892645,Ligia Lastra Valverde S.L.N.E
61019823,13847137135,Piquer & Asociados S.L.
43186321,35156323887,Comercial AQ S.A.
20266013,21014571893,Saldaña & Asociados S.A.
19556730,31718928608,Talleres Torrecilla S.A.
82231807,90769128675,Minería Bautista y asociados S.Coop.
15596923,79703424030,Logística Romeu S.A.
55449676,30949838502,Moliner & Asociados S.Coop.
11176049,49552549686,Fábrica Aznar & Asociados S.A.
95576140,11877708489,Compañía QKB S.A.
10558773,32376183154,Arellano y asociados S.L.N.E
45228892,99827203705,Hermanos Atienza S.Com.
96077032,19875180430,Infraestructuras Valcárcel & Asociados S.L.L.
38003234,64280103985,Familia Bueno S.Com.
13459232,49747076852,Soluciones Luque & Asociados S.Coop.
17039142,37529941004,Fábrica MD S.Com.
22056369,83228671362,Servicios QIQL S.A.
89899337,28887989083,Comercial CLIJ S.Com.
49334755,57884753367,Berta Barrera Salinas S.L.
62709783,53098147490,Grupo Arévalo S.L.N.E
67006530,54666027678,Valdés y Téllez S.Coop.
56051381,38681796277,Mariana Ballester Quevedo S.C.P
68765916,87738278369,Minería EX S.A.
77569719,66428367823,Banco Catalán S.A.
72599725,50007844334,Vallés y asociados S.Com.
66481289,24351812610,Peláez y asociados S.L.
78387732,71008146661,Bravo y Arenas S.Coop.
28083833,89498702373,Alimentación Almeida & Asociados S.L.N.E
73674648,74466656406,Restauración VHQL S.L.L.
43186321,15508174560,Paniagua y Cámara S.L.
88861763,82207230896,Rufino Morera Peinado S.Com.
95015576,91131529091,Farmaceútica Escudero & Asociados S.A.
87226532,66308621794,Fábrica VJYZ S.L.
15596923,23687053016,Comercial Globales S.L.
75541531,68360690393,Grupo Sancho S.L.
68042277,91645589155,Grupo Pardo S.L.
45120311,60755014273,Urbano Ballester Patiño S.A.
21232088,93796671861,Grupo Gallart S.C.P
57653437,59156847579,Hermanos Vall S.A.
60657134,45530622509,Promociones del Sur S.L.N.E
20266013,93651269942,Logística Española S.L.
78253308,95177422183,Ignacio Rubio Peinado S.A.D
