administrador,ruc,nombre
67229570,97961181346,Inversiones Inteligentes S.Com.
55783682,39673064154,Familia Linares S.L.
13056950,74217440266,Sáenz & Asociados S.Coop.
62695989,87613023197,Finanzas Larrea & Asociados S.A.
30277259,64571343808,Construcción Peñas & Asociados S.A.
75442012,39318266568,Inversiones IYT S.L.
67879933,87327803948,Caridad Riera Quirós S.Coop.
44757837,31128225336,Inversiones Españolas S.L.
82836539,53793261242,Comercializadora Ibérica S.Com.
33190634,20221819457,Vallés y asociados S.L.
36724077,33015529776,Cabeza y asociados S.Coop.
76001091,11873141155,Cazorla y Guijarro S.L.L.
40984322,83068377277,Consultoría Varela S.Coop.
81319946,21448479631,Soluciones Pont S.L.
81982507,33988164835,Grupo Gallardo S.A.
75255078,52173974680,Bou & Asociados S.Coop.
45146258,43942743293,Tecnologías Polo S.A.
63585691,13123753461,Banco Reig y asociados S.L.N.E
41955443,19305145094,Grupo Baeza S.Com.
64633373,71538052242,Hnos Villalba S.C.P
63771696,97934384351,Alexandra Zurita Peral S.Coop.
91389520,48615685873,Ortiz y Escrivá S.Coop.
32120562,60933957328,Construcción Vélez S.A.
56642747,78757954004,Roca y Alonso S.L.L.
94164786,95093272360,Construcción del Sur S.L.
75860697,48028675642,Arteaga y Ramírez S.L.
79189263,69114098941,Suministros Palomino S.Com.
64596097,15588620882,Supermercados Ayala & Asociados S.A.
98099788,90807201143,Alegre y asociados S.A.
32120562,57309361286,Despacho Cuadrado y asociados S.L.
28391847,29934289205,Comercial Galvez S.L.
62761711,99600942568,Banca Privada LTHT S.L.
63298559,67713506010,Grupo Font S.L.N.E
13221659,92432558148,Comercializadora KO S.L.
92160592,15633785837,Familia Sans S.L.
21945631,50185441139,Familia Verdejo S.Coop.
19761121,33895735373,Infraestructuras Españolas S.L.
62247784,80294727245,Valbuena y asociados S.Com.
20720304,13136828949,Minería ZIA S.L.U.
34031379,37717669842,Simó & Asociados S.Com.
76195267,43827548176,Hotel Aller S.L.N.E
60310305,66413906422,Comercializadora HLFU S.Coop.
10283361,20475083505,Industrias Burgos & Asociados S.L.
62676211,10146401941,Verdejo y asociados S.Coop.
97951764,40721846810,Hotel Sanchez & Asociados S.Coop.
78099015,25290403017,Soluciones Valls y asociados S.A.
16427380,35647102475,Isern y asociados S.A.
