dni_persona,fecha_ingreso,inicio_turno,fin_turno,salario
36782489,2021-06-29,08:00:00,17:00:00,3770.62
88534468,2022-08-25,08:00:00,17:00:00,3674.02
40152111,2020-11-16,08:00:00,17:00:00,4334.88
54464882,2020-07-31,08:00:00,17:00:00,3459.13
21174277,2023-01-18,08:00:00,17:00:00,2570.51
39929392,2021-07-19,08:00:00,17:00:00,2690.86
20711038,2023-08-07,08:00:00,17:00:00,2930.27
95676616,2022-08-02,08:00:00,17:00:00,2546.01
22454745,2021-04-02,08:00:00,17:00:00,4977.0
86869186,2024-06-06,08:00:00,17:00:00,3963.93
43892246,2023-02-27,08:00:00,17:00:00,3896.43
42854306,2024-04-16,08:00:00,17:00:00,4755.39
67566862,2021-02-16,08:00:00,17:00:00,3197.73
83075039,2021-10-19,08:00:00,17:00:00,4403.87
53551555,2020-11-17,08:00:00,17:00:00,3524.16
83267704,2023-08-03,08:00:00,17:00:00,4561.34
33175953,2022-07-04,08:00:00,17:00:00,4532.74
35223808,2023-11-03,08:00:00,17:00:00,3768.2
62777564,2021-04-12,08:00:00,17:00:00,3974.64
67608952,2020-09-10,08:00:00,17:00:00,3330.24
73591497,2024-02-10,08:00:00,17:00:00,2944.53
13225712,2023-10-01,08:00:00,17:00:00,4158.4
26007623,2023-03-14,08:00:00,17:00:00,3296.92
35365163,2023-07-21,08:00:00,17:00:00,3566.94
64513158,2021-05-18,08:00:00,17:00:00,4168.13
66527243,2023-07-07,08:00:00,17:00:00,4950.3
38278295,2020-12-24,08:00:00,17:00:00,3299.89
85129851,2023-03-22,08:00:00,17:00:00,4164.2
16382806,2023-03-20,08:00:00,17:00:00,3943.06
44892145,2022-02-24,08:00:00,17:00:00,2559.28
28897703,2022-03-31,08:00:00,17:00:00,2642.7
38432642,2024-02-12,08:00:00,17:00:00,3845.97
65272974,2022-01-25,08:00:00,17:00:00,4512.32
81256445,2023-05-29,08:00:00,17:00:00,3462.53
96167175,2022-07-31,08:00:00,17:00:00,4826.75
83813900,2022-10-14,08:00:00,17:00:00,3713.32
43821151,2020-11-04,08:00:00,17:00:00,3460.81
21973367,2021-09-13,08:00:00,17:00:00,4503.81
47220461,2023-01-21,08:00:00,17:00:00,4101.56
99989775,2024-01-11,08:00:00,17:00:00,3743.29
53622730,2024-01-03,08:00:00,17:00:00,3800.34
80701341,2021-09-05,08:00:00,17:00:00,3714.97
96955557,2023-08-08,08:00:00,17:00:00,4106.62
76702147,2022-01-24,08:00:00,17:00:00,3948.34
15775928,2024-01-31,08:00:00,17:00:00,3527.32
90978039,2020-09-25,08:00:00,17:00:00,4689.48
51195930,2022-05-13,08:00:00,17:00:00,3978.1
91042591,2021-10-29,08:00:00,17:00:00,2775.99
61411637,2021-09-25,08:00:00,17:00:00,4191.78
35556485,2023-12-19,08:00:00,17:00:00,3857.46
35860159,2023-04-11,08:00:00,17:00:00,2720.61
42737031,2023-08-18,08:00:00,17:00:00,4447.52
86454745,2020-08-29,08:00:00,17:00:00,4089.35
75791803,2023-01-06,08:00:00,17:00:00,2836.83
78100084,2021-07-06,08:00:00,17:00:00,3849.33
69451907,2022-04-07,08:00:00,17:00:00,3064.48
72364108,2022-03-15,08:00:00,17:00:00,4488.03
41492514,2023-08-19,08:00:00,17:00:00,4172.18
27972392,2024-05-08,08:00:00,17:00:00,4706.83
52973107,2023-12-17,08:00:00,17:00:00,3179.36
62336152,2021-05-09,08:00:00,17:00:00,3057.34
96781275,2021-07-06,08:00:00,17:00:00,4349.47
54986274,2021-08-10,08:00:00,17:00:00,3705.11
17111355,2021-07-08,08:00:00,17:00:00,2660.59
86459339,2020-11-21,08:00:00,17:00:00,3798.57
64877149,2022-05-06,08:00:00,17:00:00,3164.23
96347479,2022-03-25,08:00:00,17:00:00,3620.11
28104333,2023-03-19,08:00:00,17:00:00,2633.2
12542846,2020-12-14,08:00:00,17:00:00,2606.72
88700889,2024-04-17,08:00:00,17:00:00,4322.88
98767807,2020-12-28,08:00:00,17:00:00,3071.9
12158975,2022-05-20,08:00:00,17:00:00,4543.18
76661266,2021-05-09,08:00:00,17:00:00,2862.54
61694405,2020-07-24,08:00:00,17:00:00,3312.96
62014915,2021-08-04,08:00:00,17:00:00,3636.6
71035862,2021-02-27,08:00:00,17:00:00,3197.86
55066071,2020-12-30,08:00:00,17:00:00,4165.91
53566348,2023-04-11,08:00:00,17:00:00,3329.57
14656226,2022-08-04,08:00:00,17:00:00,2721.72
24412196,2022-12-10,08:00:00,17:00:00,4008.72
61986068,2023-02-11,08:00:00,17:00:00,3351.47
75022735,2023-05-26,08:00:00,17:00:00,3966.04
78475147,2021-06-22,08:00:00,17:00:00,2728.95
53845434,2024-03-19,08:00:00,17:00:00,2771.48
11643478,2023-04-09,08:00:00,17:00:00,2509.47
61151941,2022-05-10,08:00:00,17:00:00,2973.51
72244474,2021-09-25,08:00:00,17:00:00,4715.65
67750153,2023-06-23,08:00:00,17:00:00,4639.32
82268654,2022-09-22,08:00:00,17:00:00,3792.04
89048304,2022-08-17,08:00:00,17:00:00,3195.67
38523282,2024-01-11,08:00:00,17:00:00,3200.91
77529788,2022-11-04,08:00:00,17:00:00,3234.73
88344927,2024-05-14,08:00:00,17:00:00,3913.11
82348666,2023-09-06,08:00:00,17:00:00,4742.54
15679802,2023-12-02,08:00:00,17:00:00,4678.84
30499270,2024-06-13,08:00:00,17:00:00,3492.36
47892138,2022-08-15,08:00:00,17:00:00,2855.08
22935097,2022-08-28,08:00:00,17:00:00,3738.24
15726394,2021-05-02,08:00:00,17:00:00,2507.73
12356468,2021-01-10,08:00:00,17:00:00,2864.42
60804622,2021-07-18,08:00:00,17:00:00,3757.93
12489607,2023-05-18,08:00:00,17:00:00,4590.63
30328538,2024-03-01,08:00:00,17:00:00,3421.51
86908599,2022-02-19,08:00:00,17:00:00,2505.96
96515297,2021-12-28,08:00:00,17:00:00,3938.9
85529705,2024-02-20,08:00:00,17:00:00,3800.14
59989600,2022-01-14,08:00:00,17:00:00,2690.23
98705320,2022-10-19,08:00:00,17:00:00,2977.59
23175465,2021-06-09,08:00:00,17:00:00,4972.66
79747122,2021-02-14,08:00:00,17:00:00,3373.68
52988360,2023-02-10,08:00:00,17:00:00,4197.26
79909389,2023-01-12,08:00:00,17:00:00,2787.83
50046237,2020-10-08,08:00:00,17:00:00,3382.77
69432667,2024-02-08,08:00:00,17:00:00,4683.78
46163512,2022-09-29,08:00:00,17:00:00,4555.96
85849261,2022-05-30,08:00:00,17:00:00,4954.81
56864107,2022-09-02,08:00:00,17:00:00,3650.32
65431549,2024-02-29,08:00:00,17:00:00,3192.36
86140810,2023-11-27,08:00:00,17:00:00,2559.83
77801840,2020-11-07,08:00:00,17:00:00,2619.39
18025523,2020-07-12,08:00:00,17:00:00,4712.22
64491214,2021-03-29,08:00:00,17:00:00,2565.24
17312241,2024-02-02,08:00:00,17:00:00,3717.81
64741524,2023-11-21,08:00:00,17:00:00,4649.51
76016940,2024-06-25,08:00:00,17:00:00,2756.28
88539284,2024-04-21,08:00:00,17:00:00,4358.14
70180092,2021-06-03,08:00:00,17:00:00,4847.59
61148733,2023-04-06,08:00:00,17:00:00,3158.62
63058560,2022-11-16,08:00:00,17:00:00,4179.75
95014225,2021-01-31,08:00:00,17:00:00,4775.9
23295177,2021-02-16,08:00:00,17:00:00,4156.16
35210308,2024-06-04,08:00:00,17:00:00,3933.06
87637243,2022-02-06,08:00:00,17:00:00,4119.59
62466282,2021-10-15,08:00:00,17:00:00,4141.58
95957291,2023-05-13,08:00:00,17:00:00,4957.75
27691865,2021-10-18,08:00:00,17:00:00,3949.42
35667657,2021-04-30,08:00:00,17:00:00,2546.92
30935221,2023-10-25,08:00:00,17:00:00,2738.19
41979144,2023-06-09,08:00:00,17:00:00,4187.36
36441222,2022-02-03,08:00:00,17:00:00,2597.94
29761416,2022-01-28,08:00:00,17:00:00,2891.46
36444140,2020-08-10,08:00:00,17:00:00,4173.24
92760266,2021-08-18,08:00:00,17:00:00,3683.36
99168150,2022-03-20,08:00:00,17:00:00,4606.59
57516518,2021-10-15,08:00:00,17:00:00,4153.75
60739644,2021-09-01,08:00:00,17:00:00,3978.7
75233685,2023-07-24,08:00:00,17:00:00,3755.12
52338665,2020-07-09,08:00:00,17:00:00,4593.66
41086486,2021-05-16,08:00:00,17:00:00,2584.63
92153150,2022-02-20,08:00:00,17:00:00,3636.47
16277539,2023-09-29,08:00:00,17:00:00,3636.47
95151304,2021-07-15,08:00:00,17:00:00,4753.8
57521119,2022-05-22,08:00:00,17:00:00,4450.84
57824651,2021-09-14,08:00:00,17:00:00,2666.46
98102578,2023-02-02,08:00:00,17:00:00,4329.69
12376722,2021-11-27,08:00:00,17:00:00,4731.39
85173691,2023-01-08,08:00:00,17:00:00,4480.77
49067567,2021-08-14,08:00:00,17:00:00,2796.72
40304895,2020-12-09,08:00:00,17:00:00,3316.62
93163456,2024-03-31,08:00:00,17:00:00,4547.18
84071045,2024-05-12,08:00:00,17:00:00,2841.84
39967336,2023-11-09,08:00:00,17:00:00,4606.58
56763519,2023-03-14,08:00:00,17:00:00,2802.42
58309578,2024-03-10,08:00:00,17:00:00,3676.53
67934950,2024-02-13,08:00:00,17:00:00,2863.98
12739439,2022-09-18,08:00:00,17:00:00,4637.88
