dni_persona,rango
77552774,Gerente
48353084,Gerente
71428033,Supervisor
65158387,Coordinador
98990341,Supervisor
56617809,Supervisor
57863274,Gerente
26290833,Coordinador
44213662,Gerente
24740945,Coordinador
71776650,Gerente
94261953,Coordinador
88597740,Coordinador
62476137,Supervisor
11461807,Coordinador
13692028,Supervisor
75298256,Gerente
50655047,Gerente
94081971,Coordinador
26673093,Gerente
64246969,Coordinador
60177364,Coordinador
36363716,Supervisor
42940193,Supervisor
28338565,Coordinador
82575538,Supervisor
61243814,Supervisor
40433769,Supervisor
96495616,Gerente
79896962,Supervisor
61580378,Supervisor
13569903,Coordinador
80673624,Gerente
77517973,Supervisor
96946735,Supervisor
20657571,Coordinador
16107284,Gerente
74777042,Gerente
75697967,Supervisor
69340034,Supervisor
51406916,Gerente
77313503,Supervisor
33438269,Coordinador
15504936,Supervisor
36145744,Gerente
19403053,Supervisor
31406150,Supervisor
28300138,Gerente
20537029,Gerente
14958065,Gerente
17487356,Supervisor
12623192,Gerente
67775436,Supervisor
50533787,Supervisor
25034289,Supervisor
58890875,Coordinador
75638962,Gerente
55013778,Supervisor
13496696,Coordinador
94173275,Gerente
98982953,Coordinador
28705534,Supervisor
77288700,Coordinador
18723805,Gerente
38335016,Supervisor
90172765,Gerente
74239068,Coordinador
90392999,Supervisor
47244051,Coordinador
20545702,Coordinador
55919883,Gerente
71257827,Supervisor
29261967,Gerente
27621113,Coordinador
95997483,Supervisor
13809642,Coordinador
70668759,Supervisor
24288160,Coordinador
41193735,Supervisor
90689290,Gerente
43979068,Supervisor
49139132,Gerente
40488824,Gerente
35775828,Coordinador
59233509,Gerente
62636689,Supervisor
82456943,Gerente
52437540,Supervisor
26032130,Coordinador
51685952,Supervisor
67282691,Gerente
60000922,Gerente
30041843,Gerente
18283684,Gerente
82169914,Gerente
74881498,Coordinador
16054125,Coordinador
98426399,Coordinador
20679415,Coordinador
15925954,Supervisor
74494957,Coordinador
83785637,Supervisor
59467719,Coordinador
62849903,Coordinador
85542116,Gerente
20728911,Gerente
43484552,Coordinador
73600595,Gerente
55449086,Supervisor
56761397,Supervisor
30915116,Coordinador
10873654,Supervisor
67287069,Coordinador
16427380,Gerente
83105347,Coordinador
59412822,Supervisor
64678247,Coordinador
47302078,Gerente
48110112,Gerente
41360635,Coordinador
71974873,Supervisor
53602478,Supervisor
71426852,Gerente
73277117,Gerente
71548542,Coordinador
96355681,Gerente
31011609,Coordinador
57435982,Supervisor
40452768,Gerente
79566154,Coordinador
89676388,Gerente
39656116,Supervisor
29597288,Supervisor
28235834,Gerente
29049605,Gerente
42299127,Coordinador
69260064,Gerente
81107652,Coordinador
59989986,Coordinador
65980431,Supervisor
49711860,Coordinador
94164786,Coordinador
32991675,Supervisor
15906064,Gerente
45730456,Supervisor
14463038,Coordinador
66643921,Supervisor
21043675,Supervisor
36746812,Gerente
12288618,Gerente
26297971,Supervisor
87767586,Supervisor
95008588,Supervisor
57759965,Coordinador
70678543,Supervisor
60445706,Coordinador
82782577,Gerente
11392286,Coordinador
87846432,Supervisor
96642246,Gerente
60415113,Supervisor
38993112,Coordinador
23678044,Supervisor
87256284,Supervisor
65034897,Supervisor
65973643,Supervisor
47263829,Supervisor
48095895,Gerente
26940510,Gerente
88074813,Supervisor
79243233,Gerente
31010065,Gerente
62213609,Gerente
42842286,Gerente
89963707,Gerente
74232384,Coordinador
12521691,Coordinador
89081032,Gerente
84914547,Gerente
65347232,Coordinador
41858808,Supervisor
78499401,Coordinador
56487278,Gerente
92814295,Supervisor
18174832,Supervisor
31089929,Coordinador
81455043,Supervisor
88319785,Coordinador
41829593,Coordinador
76322634,Gerente
25997664,Gerente
75003870,Supervisor
49304653,Gerente
72697960,Supervisor
70963652,Gerente
27090795,Coordinador
40984322,Coordinador
50745576,Coordinador
59775372,Coordinador
95017058,Gerente
35360475,Coordinador
84960946,Coordinador
45454708,Supervisor
20720304,Supervisor
60643581,Supervisor
39654476,Coordinador
87008905,Coordinador
85155080,Supervisor
83163418,Coordinador
80117112,Gerente
58848359,Coordinador
41423864,Gerente
62288055,Gerente
52172563,Supervisor
90071374,Supervisor
53460921,Coordinador
21273128,Coordinador
97041823,Coordinador
38965889,Supervisor
16648315,Gerente
33685463,Supervisor
44270040,Coordinador
50922476,Supervisor
94820592,Coordinador
57041241,Supervisor
39366540,Coordinador
86611407,Coordinador
14747555,Coordinador
14789117,Gerente
88423477,Gerente
29010208,Coordinador
91017158,Gerente
74666390,Supervisor
27005346,Coordinador
97951764,Supervisor
70796703,Gerente
86952210,Gerente
43067680,Gerente
75004286,Gerente
19380409,Coordinador
92533189,Gerente
47994663,Coordinador
68557005,Supervisor
34772962,Supervisor
56051392,Gerente
58076628,Supervisor
60013368,Supervisor
70100613,Coordinador
69018554,Supervisor
56600525,Supervisor
75098814,Coordinador
90674614,Supervisor
77908832,Gerente
35790378,Supervisor
11755824,Supervisor
62761711,Supervisor
63125493,Coordinador
56468681,Gerente
88998939,Coordinador
13664670,Gerente
60139976,Supervisor
88472817,Gerente
76857504,Supervisor
46630243,Coordinador
78641639,Supervisor
48918653,Supervisor
23288515,Gerente
83029819,Gerente
41359420,Gerente
57715652,Gerente
16077594,Supervisor
64633373,Coordinador
77535903,Gerente
18256308,Supervisor
19802615,Gerente
62439307,Gerente
10315724,Gerente
28149150,Supervisor
21682945,Coordinador
97982238,Gerente
45942891,Coordinador
97724708,Coordinador
95469911,Gerente
38298809,Gerente
23489836,Gerente
17083854,Gerente
20203223,Supervisor
64699617,Gerente
38202751,Supervisor
71122759,Supervisor
61660835,Coordinador
39996142,Supervisor
83008478,Supervisor
86744482,Gerente
24635891,Gerente
72619649,Gerente
72609143,Gerente
24410321,Supervisor
52048710,Gerente
68266476,Supervisor
53188979,Gerente
75291393,Coordinador
86442212,Supervisor
70651647,Gerente
58212304,Gerente
93218595,Coordinador
58060196,Coordinador
75951318,Supervisor
20440406,Supervisor
88009401,Gerente
28840292,Gerente
65247532,Supervisor
60290451,Coordinador
72130174,Supervisor
67111355,Supervisor
19316634,Gerente
37930091,Gerente
86958643,Supervisor
47582711,Gerente
38590713,Gerente
97207804,Supervisor
20344969,Gerente
80448300,Supervisor
75847913,Supervisor
36340977,Gerente
59994871,Supervisor
86440440,Coordinador
58542932,Coordinador
43471800,Gerente
99020984,Gerente
89219014,Gerente
63806570,Coordinador
55802247,Coordinador
83180758,Gerente
16599776,Gerente
70996087,Supervisor
44502907,Coordinador
23209340,Supervisor
23794678,Coordinador
93963311,Gerente
96180749,Coordinador
87054131,Coordinador
83235661,Supervisor
52095628,Coordinador
35240364,Gerente
98287444,Coordinador
59398057,Supervisor
51611073,Supervisor
11796954,Gerente
45340164,Gerente
64719944,Coordinador
39226439,Supervisor
52942526,Supervisor
48514886,Gerente
51076596,Supervisor
31662986,Supervisor
45186833,Supervisor
43967727,Gerente
39488011,Gerente
75869742,Coordinador
61507541,Coordinador
59750327,Coordinador
26005757,Supervisor
79707182,Supervisor
49355430,Gerente
98500030,Coordinador
52447827,Gerente
81018924,Gerente
71420793,Coordinador
78066855,Supervisor
35734542,Supervisor
74242936,Gerente
56893272,Gerente
48812193,Coordinador
70193806,Gerente
40566236,Coordinador
74450649,Coordinador
16947332,Gerente
49765895,Coordinador
22775672,Coordinador
76103269,Coordinador
27656524,Gerente
55507271,Supervisor
75277279,Gerente
95847314,Coordinador
58598554,Coordinador
70634663,Supervisor
59853611,Gerente
65874491,Coordinador
86182167,Coordinador
19084564,Supervisor
97461736,Supervisor
88290701,Supervisor
90478858,Gerente
91704377,Coordinador
52006934,Coordinador
87705803,Coordinador
86828663,Coordinador
37222831,Gerente
61384415,Gerente
61515665,Coordinador
23978517,Gerente
78374436,Coordinador
56084604,Gerente
86249969,Supervisor
57538939,Gerente
27370683,Supervisor
70504998,Supervisor
89973180,Coordinador
20317386,Coordinador
46480521,Coordinador
68147677,Supervisor
80477578,Coordinador
13405881,Supervisor
49661404,Supervisor
99853217,Supervisor
61183134,Gerente
20043873,Coordinador
71918971,Coordinador
95720849,Coordinador
81570140,Gerente
19207325,Supervisor
46195993,Supervisor
21468974,Coordinador
97731897,Coordinador
20113006,Gerente
73415614,Supervisor
85723059,Coordinador
80051684,Coordinador
19756151,Coordinador
59221959,Coordinador
86194543,Supervisor
64014772,Gerente
26909556,Gerente
24658289,Coordinador
72056424,Supervisor
84455381,Coordinador
55040937,Supervisor
15719078,Coordinador
37090457,Supervisor
51582190,Supervisor
40224615,Gerente
20788361,Gerente
67919683,Gerente
15205699,Supervisor
16425902,Coordinador
61866197,Gerente
91559679,Supervisor
92393091,Supervisor
16581054,Coordinador
65630615,Coordinador
88521519,Gerente
31125835,Coordinador
40325898,Gerente
53621742,Coordinador
94354541,Supervisor
47017057,Supervisor
87045014,Supervisor
42224721,Supervisor
82272696,Supervisor
68954021,Coordinador
30469205,Coordinador
38639482,Gerente
86511570,Supervisor
96273186,Supervisor
60593365,Coordinador
65906731,Coordinador
17098964,Gerente
56416797,Supervisor
46120528,Coordinador
12101309,Coordinador
62798120,Gerente
42300090,Gerente
67109888,Gerente
77089912,Gerente
74708615,Coordinador
63102863,Supervisor
29493754,Gerente
22854851,Gerente
29855436,Supervisor
39694966,Coordinador
49226067,Supervisor
50844080,Gerente
65283295,Coordinador
99581184,Supervisor
11369630,Gerente
78704870,Gerente
90687906,Coordinador
90387999,Supervisor
94815643,Supervisor
59294740,Coordinador
79106085,Gerente
71913011,Supervisor
38557552,Supervisor
59602341,Coordinador
21300303,Supervisor
22981674,Gerente
80832095,Gerente
81757209,Gerente
36359505,Gerente
70227166,Coordinador
25396802,Gerente
15894976,Supervisor
98679153,Coordinador
12269187,Supervisor
91733957,Supervisor
80795149,Gerente
92958825,Supervisor
71532682,Gerente
15389922,Supervisor
75146505,Gerente
57068940,Gerente
40567887,Gerente
55758845,Gerente
67663413,Gerente
82625447,Coordinador
87745511,Coordinador
30658160,Gerente
19263812,Gerente
74551608,Gerente
79461117,Coordinador
17513565,Coordinador
14353245,Supervisor
31025291,Supervisor
13894903,Coordinador
78964460,Supervisor
85554850,Gerente
38015461,Supervisor
14825814,Gerente
16140690,Coordinador
