id,dni_persona,nombre,ruc_proveedor,stock,precio
20001,36543695,ut,85371597942,587,174.77
20002,53624786,repellendus,50636667098,944,121.38
20003,10402663,eligendi,14891096412,13,54.01
20004,60141854,et,99539865133,103,140.56
20005,15262430,officiis,60463903603,238,30.97
20006,75912801,corporis,80231059005,351,54.9
20007,48635358,rem,33086390020,264,188.14
20008,62900173,quos,31443192515,401,50.6
20009,57192158,dolore,63787478356,96,118.11
20010,70248234,officiis,15032283733,309,41.27
20011,66225343,molestiae,48565264612,233,44.06
20012,89997486,laboriosam,16557119402,443,21.09
20013,49013681,eaque,96621928581,165,92.16
20014,73901296,atque,99257322096,129,106.16
20015,16659725,libero,98878022121,309,104.56
20016,60408651,dolorem,75324809258,921,114.8
20017,92856851,reprehenderit,28291318233,517,193.83
20018,23196117,facere,20118482444,846,10.47
20019,74107787,vitae,90433462831,345,84.55
20020,80075229,aliquam,73070067571,579,151.55
20021,68128662,accusamus,44706110814,270,124.31
20022,92104697,velit,28336878099,393,31.39
20023,70370305,laboriosam,90617241265,880,127.75
20024,99399916,placeat,17004771135,991,119.76
20025,86717074,excepturi,80692667061,223,89.0
20026,18602522,sapiente,71796814119,118,32.3
20027,27779359,veritatis,42474679439,756,28.18
20028,62838161,impedit,98392003999,478,185.27
20029,37417164,in,21494080648,291,63.98
20030,42676089,accusamus,86201210754,290,64.61
20031,69102955,temporibus,92964135237,208,183.37
20032,60988060,quisquam,49410317227,800,94.95
20033,89021821,ullam,40628525755,389,165.6
20034,26170322,minus,77196554964,826,8.94
20035,54027198,hic,12163003967,54,79.46
20036,29135202,eveniet,79857135702,67,86.07
20037,10394152,animi,56410270983,917,165.99
20038,51648422,dolor,95980484545,472,56.22
20039,41129533,cum,53091773870,980,114.79
20040,89378900,ducimus,53763987150,249,122.5
20041,83462523,ipsum,83966351957,45,158.6
20042,93944852,nostrum,34164038265,1000,85.04
20043,30248592,mollitia,23464196504,346,141.77
20044,96975078,odit,83976174307,35,73.25
20045,75126799,ipsa,54547207273,360,137.65
20046,59517546,temporibus,78771698592,927,179.93
20047,61336777,illo,11818276569,253,62.95
20048,35930185,dicta,83642129772,591,194.98
20049,98832552,explicabo,68236423590,261,129.82
20050,46081472,ducimus,85261760304,192,186.07
20051,48615395,corporis,44550349116,252,170.94
20052,31369816,odio,80003509272,504,125.17
20053,11051664,iure,66703108613,773,34.76
20054,27308718,veniam,74669612766,445,95.6
20055,39427090,magni,39937156719,494,23.42
20056,34922140,ipsa,97799287261,121,193.88
20057,97467026,iure,11791345380,207,127.06
20058,70832330,tempore,72638243924,427,123.47
20059,89740482,fugiat,63452650395,874,8.4
20060,71157440,et,20854305213,445,168.63
20061,24164365,repellat,90986907051,740,88.99
20062,87565100,aspernatur,77062004010,252,199.87
20063,75560772,suscipit,79328147436,87,185.59
20064,22934431,in,98836261449,10,174.29
20065,48801358,itaque,64570690170,256,137.23
20066,62813132,sed,47529781729,76,61.09
20067,59700606,hic,34425419746,931,12.18
20068,18640674,vitae,77047162551,382,61.92
20069,70248234,nam,19172219465,986,15.63
20070,29095101,aspernatur,57191871955,720,186.12
20071,60834395,fuga,83433190892,52,88.9
20072,80483556,odio,28304156846,314,177.9
20073,53128419,quisquam,78390968053,297,120.43
20074,19253282,minima,39598906669,796,195.87
20075,34174300,ratione,73591727673,301,25.32
20076,74408015,ratione,95307142939,265,85.54
20077,84708850,possimus,81561425701,910,54.13
20078,72938605,mollitia,48506127451,769,8.02
20079,23992688,nobis,39903708851,215,68.69
20080,34311925,fugit,69587521634,516,18.42
20081,83866703,suscipit,53012497797,160,66.11
20082,36365184,ut,97540148299,91,42.12
20083,78991145,aut,48189290990,307,121.72
20084,69600902,aperiam,65174204702,315,12.43
20085,77174721,hic,68653492693,784,171.23
20086,91509726,tenetur,93035144035,887,193.6
20087,92728988,possimus,36997114555,480,93.87
20088,10157217,nobis,22149250792,82,163.37
20089,97712607,nihil,74354194528,278,114.44
20090,66586349,reprehenderit,79921998047,838,113.3
20091,95334784,rerum,79846215161,942,41.21
20092,33780125,occaecati,82685281209,751,24.88
20093,91966956,blanditiis,88764189038,776,20.46
20094,61789774,similique,11734318089,623,85.57
20095,19177247,provident,94375050812,701,197.15
20096,34994396,excepturi,50191851923,435,191.98
20097,67201719,iusto,53621183022,335,48.35
20098,10998577,reprehenderit,17888269642,520,113.0
20099,24716138,quas,91630162022,974,183.86
20100,88803028,facilis,27216767190,954,96.56
20101,34283249,enim,10686633238,530,57.32
20102,34922140,reprehenderit,19473068900,918,51.38
20103,12941017,nihil,27443794290,520,92.4
20104,66635928,praesentium,86562721046,330,52.82
20105,49782945,eveniet,62457872988,683,18.34
20106,21836721,hic,56798739546,941,129.85
20107,52087864,porro,46481536580,300,16.4
20108,43280108,quam,19288879658,319,66.82
20109,35998203,inventore,35071552267,744,52.39
20110,70225995,soluta,24038083054,902,77.28
20111,41286671,eos,33694520003,696,106.62
20112,72433278,nesciunt,51566690303,161,73.03
20113,89722845,dolore,17988660412,95,61.15
20114,68223271,labore,66875393832,365,168.65
20115,93637562,ipsam,70443026216,524,88.16
20116,99378835,velit,81052977519,196,80.72
20117,96837646,architecto,24749853608,507,196.58
20118,96672306,nostrum,77233729375,895,27.59
20119,60434514,in,44186575582,406,64.89
20120,28144666,et,28788133379,291,164.42
20121,52824113,pariatur,48004800352,315,117.6
20122,99248787,a,18309387672,286,119.65
20123,27398302,facere,98159040410,217,37.91
20124,45553007,dolorem,97724250486,208,179.31
20125,56042563,quisquam,12879013088,634,71.56
20126,49483439,officiis,73251861400,219,120.05
20127,24663170,perspiciatis,66734158067,402,91.21
20128,81162051,adipisci,77256369979,351,69.76
20129,78346541,est,93523269527,240,78.18
20130,25946312,quas,38428950103,105,198.4
20131,95431390,fuga,69807250299,134,178.64
20132,24010223,dignissimos,64570690170,124,119.33
20133,17066172,dolorem,66765251892,693,41.16
20134,62428816,ipsa,45734288307,226,51.2
20135,13612151,corrupti,44382550895,840,37.87
20136,70670483,voluptas,10931935643,506,72.77
20137,53592770,repellendus,77833478104,587,149.53
20138,48625878,possimus,94736818104,670,86.51
20139,96993831,maxime,34003055435,638,12.68
20140,97488910,laborum,21369825548,375,39.86
20141,69378485,molestias,84067807037,256,55.23
20142,40401897,cum,51803596696,546,102.41
20143,38995184,at,79943994927,272,89.56
20144,21809071,vero,78692719278,130,130.39
20145,84028321,maiores,59375505645,713,17.47
20146,64896449,consequatur,32994727663,992,114.4
20147,66225343,consequatur,20530547187,15,47.97
20148,10961237,sequi,76204438704,651,46.18
20149,61469589,vel,19134532004,953,154.28
20150,64725839,quo,31128225336,714,9.0
20151,54336481,vero,41469545277,574,192.35
20152,86450394,delectus,96101813870,478,18.06
20153,82592658,reiciendis,32812272215,483,39.6
20154,21817807,facere,53365571550,626,66.3
20155,67116566,facilis,80582579862,792,108.5
20156,53018884,beatae,13869290066,851,107.94
20157,63111790,magnam,57410326792,91,150.5
20158,26813720,ullam,94523675430,102,198.75
20159,10733881,molestiae,83629407104,684,11.83
20160,53380096,rerum,24127979912,394,24.6
20161,46481426,quisquam,48129048124,419,61.41
20162,66385836,excepturi,37431525129,365,59.92
20163,84946693,qui,53568508019,668,123.85
20164,12532105,mollitia,17444054039,253,195.61
20165,97112365,ipsam,26458441500,480,30.63
20166,97466383,dolorum,28060895220,45,24.07
20167,28882338,voluptatem,96852552036,437,29.6
20168,40473190,vitae,98636423336,235,32.23
20169,63345491,iste,79008268286,901,108.39
20170,30128045,labore,31431346739,615,76.06
20171,64955219,doloremque,58740597637,318,92.36
20172,84570416,at,88450553769,884,179.18
20173,40826368,quia,84472416926,42,12.48
20174,41545517,et,95288205569,698,66.13
20175,75560772,beatae,90365971337,375,183.38
20176,51850433,eligendi,69407178289,90,47.91
20177,62993155,minus,99063140240,206,124.54
20178,80147183,quidem,26244270719,484,57.2
20179,78624705,voluptatum,22648712653,862,137.92
20180,74950650,natus,93827197605,160,89.17
20181,24169727,commodi,75872065053,213,85.98
20182,89802400,maxime,92399687974,544,36.83
20183,33814850,illum,58193731877,713,56.23
20184,76202803,sed,60891423593,184,63.02
20185,74502815,nesciunt,11623818675,679,162.93
20186,69507145,assumenda,51153958293,781,156.16
20187,71106751,neque,40069275805,56,108.06
20188,57875576,modi,92968965270,596,85.79
20189,74196587,excepturi,71555919132,505,91.35
20190,64071307,reiciendis,60858144268,561,37.86
20191,14671575,sapiente,97521302731,965,194.51
20192,92366184,quia,87479363034,738,129.07
20193,97684774,aliquid,17439922099,607,84.92
20194,43811784,aspernatur,58944180581,230,65.42
20195,48428186,aliquid,17979586523,183,195.54
20196,85927893,quisquam,84306068656,288,112.5
20197,48428186,iusto,32724614906,761,45.43
20198,28456184,vero,29876340644,852,192.12
20199,76233383,quaerat,87647429143,554,132.35
20200,47753534,similique,35327612556,415,11.99
20201,94766476,ipsam,79162599267,464,50.14
20202,68505037,neque,59243853810,333,170.71
20203,94539132,saepe,44663217770,802,173.41
20204,87832413,error,15436642198,372,173.98
20205,89502197,eaque,23891438550,319,17.83
20206,16509444,quas,86518387970,21,168.73
20207,27225165,aut,99612262777,502,23.29
20208,79636486,illo,21092205207,32,17.84
20209,14339549,quis,29059870159,131,46.68
20210,31917771,aperiam,80429015581,587,177.03
20211,11785487,beatae,94292021158,860,199.18
20212,66626210,porro,26482137869,615,81.13
20213,84705136,pariatur,65741410087,902,78.44
20214,80599390,labore,39145757215,552,24.95
20215,86519576,maxime,49322062177,439,94.15
20216,14063129,perspiciatis,88238147548,592,116.47
20217,57701560,expedita,21856008350,905,190.18
20218,49695348,error,84268895222,80,72.72
20219,18488092,dolorum,67867426600,735,146.06
20220,32979035,asperiores,89064932053,402,24.66
20221,71763909,totam,29934289205,43,132.73
20222,31023077,aliquid,83779655184,302,71.13
20223,48156579,consectetur,77240402034,509,149.97
20224,68514041,veniam,75492374971,704,91.64
20225,27741699,quo,68533394150,589,96.89
20226,46714742,exercitationem,16639269447,51,87.45
20227,11267620,quam,92298501804,611,135.62
20228,19253282,eum,44710861569,616,127.94
20229,31529743,error,66914015047,822,100.04
20230,92504069,harum,90905602611,933,94.35
20231,83350224,nesciunt,67263035183,326,39.92
20232,53127190,consectetur,50191851923,114,183.31
20233,96170616,voluptatem,83429273740,383,82.79
20234,80876648,nam,80348684928,288,109.16
20235,22330508,a,94870676548,627,104.38
20236,68410325,vel,17998112464,795,90.88
20237,56672013,cupiditate,33953235018,463,187.15
20238,66774810,suscipit,80587778511,965,67.43
20239,90225167,commodi,55166820840,910,199.52
20240,11592390,ipsa,31343647596,748,46.6
20241,72269210,tempora,11843011231,616,143.02
20242,84686792,quae,63459469652,645,20.4
20243,38191002,fuga,31000165670,598,111.1
20244,55657237,incidunt,54422651027,799,179.71
20245,29553015,commodi,57779407136,656,131.18
20246,61469589,nihil,12851248051,777,118.38
20247,72027189,consequatur,93983838527,106,80.08
20248,18001424,alias,88118431450,91,20.98
