dni_propietario,id_mascota
72715114,255001
15209340,255002
85091688,255003
87862521,255004
63083454,255005
68260266,255006
79565720,255007
56672077,255008
50685984,255009
55925040,255010
91422167,255011
14396996,255012
49964949,255013
69567324,255014
24577216,255015
78548721,255016
13902883,255017
59785096,255018
13926257,255019
40188093,255020
12057347,255021
53521240,255022
49165777,255023
56509161,255024
46345933,255025
19389815,255026
43448090,255027
73535496,255028
90235855,255029
81132308,255030
38627693,255031
58451775,255032
80513307,255033
42769016,255034
46547235,255035
99880273,255036
66218630,255037
58965073,255038
82587605,255039
41677635,255040
22625785,255041
92839260,255042
32633635,255043
91077529,255044
89201611,255045
13536720,255046
90991514,255047
40309676,255048
61109614,255049
13630341,255050
49184935,255051
22492582,255052
24204678,255053
88175725,255054
57420704,255055
85962781,255056
91575021,255057
71032623,255058
84720899,255059
32236036,255060
22649740,255061
87832964,255062
17230783,255063
12939644,255064
82568133,255065
69250001,255066
95188853,255067
78833362,255068
52024988,255069
64593471,255070
87256581,255071
28121289,255072
47504443,255073
46495442,255074
97413837,255075
22935483,255076
38488023,255077
37327835,255078
88936995,255079
83309383,255080
94788842,255081
39059736,255082
78490039,255083
17396759,255084
43637959,255085
59881995,255086
72138868,255087
67743048,255088
55643861,255089
95989837,255090
70338372,255091
53289842,255092
64214675,255093
91637065,255094
83475966,255095
62703273,255096
25853842,255097
51525293,255098
56035481,255099
26198290,255100
59019147,255101
22274792,255102
48381830,255103
60171507,255104
72660133,255105
42651226,255106
30566511,255107
71813531,255108
81436273,255109
55464196,255110
75869473,255111
17212780,255112
34931954,255113
19701774,255114
56215383,255115
78781085,255116
95697131,255117
43157442,255118
30969743,255119
35915809,255120
58125921,255121
14475125,255122
11834090,255123
36516194,255124
24148925,255125
54385022,255126
53683901,255127
25221315,255128
19347021,255129
22386880,255130
56545054,255131
19647524,255132
33255345,255133
83485085,255134
36109330,255135
19437783,255136
58384671,255137
95742586,255138
18642239,255139
91542387,255140
98739859,255141
40569097,255142
97961528,255143
10726915,255144
75901244,255145
25524199,255146
42072644,255147
83304746,255148
88096575,255149
60324898,255150
13929816,255151
84567594,255152
99168571,255153
41522479,255154
27256159,255155
51058962,255156
44156041,255157
69796068,255158
43322228,255159
38022029,255160
98765062,255161
93797901,255162
81026009,255163
25728676,255164
97015287,255165
27988252,255166
40174855,255167
15688794,255168
61096983,255169
12036479,255170
55485056,255171
43089871,255172
50257352,255173
10827279,255174
34546728,255175
14668101,255176
52292709,255177
42545607,255178
87727888,255179
13144078,255180
51396274,255181
