dni_persona,num_colegiatura,especializacion
36782489,VET-073279,Dermatología
88534468,VET-167369,Medicina General
40152111,VET-660935,Cirugía
54464882,VET-256924,Cirugía
21174277,VET-039385,Cirugía
39929392,VET-002803,Medicina General
20711038,VET-976405,Cirugía
95676616,VET-166966,Cardiología
22454745,VET-462785,Oncología
86869186,VET-426758,Medicina General
43892246,VET-911609,Cardiología
42854306,VET-978907,Oncología
67566862,VET-682775,Cirugía
83075039,VET-081373,Medicina General
53551555,VET-794698,Cirugía
83267704,VET-640307,Cirugía
33175953,VET-291523,Oncología
35223808,VET-072761,Oncología
62777564,VET-487375,Cardiología
67608952,VET-783278,Cardiología
73591497,VET-193675,Cardiología
13225712,VET-038731,Oncología
26007623,VET-119117,Cardiología
35365163,VET-637847,Medicina General
64513158,VET-592607,Cirugía
66527243,VET-407025,Medicina General
38278295,VET-857754,Cirugía
85129851,VET-873361,Cirugía
16382806,VET-108606,Medicina General
44892145,VET-575605,Cirugía
28897703,VET-438304,Dermatología
38432642,VET-476787,Oncología
65272974,VET-285340,Cardiología
81256445,VET-016689,Dermatología
96167175,VET-561401,Medicina General
83813900,VET-345159,Cirugía
43821151,VET-585822,Oncología
21973367,VET-676490,Oncología
47220461,VET-246212,Medicina General
99989775,VET-792522,Cirugía
53622730,VET-526167,Medicina General
80701341,VET-057788,Cirugía
96955557,VET-581270,Oncología
76702147,VET-117057,Oncología
15775928,VET-965563,Oncología
90978039,VET-739232,Cirugía
51195930,VET-823805,Dermatología
91042591,VET-391592,Oncología
61411637,VET-138282,Dermatología
35556485,VET-685998,Oncología
35860159,VET-269614,Dermatología
42737031,VET-216251,Cardiología
86454745,VET-326094,Medicina General
75791803,VET-065657,Dermatología
78100084,VET-090876,Medicina General
69451907,VET-785918,Oncología
72364108,VET-848744,Cardiología
41492514,VET-281216,Medicina General
27972392,VET-804038,Cardiología
52973107,VET-438719,Dermatología
62336152,VET-275264,Medicina General
96781275,VET-697550,Oncología
54986274,VET-286651,Oncología
17111355,VET-323107,Cirugía
86459339,VET-586953,Cardiología
64877149,VET-710702,Cirugía
96347479,VET-078626,Cardiología
28104333,VET-896253,Medicina General
12542846,VET-311219,Cirugía
88700889,VET-579774,Medicina General
98767807,VET-738171,Medicina General
12158975,VET-769597,Cirugía
76661266,VET-175967,Cirugía
61694405,VET-947102,Medicina General
62014915,VET-765153,Cardiología
71035862,VET-901352,Cardiología
55066071,VET-643429,Medicina General
53566348,VET-025157,Oncología
14656226,VET-198505,Cardiología
24412196,VET-049168,Dermatología
61986068,VET-760713,Cardiología
75022735,VET-709114,Dermatología
78475147,VET-249229,Cardiología
53845434,VET-809516,Cardiología
11643478,VET-289292,Cardiología
61151941,VET-280249,Oncología
72244474,VET-577862,Medicina General
67750153,VET-458059,Dermatología
82268654,VET-885451,Cardiología
89048304,VET-362643,Dermatología
38523282,VET-496084,Cirugía
77529788,VET-999634,Cardiología
88344927,VET-391101,Medicina General
82348666,VET-945215,Dermatología
15679802,VET-765731,Dermatología
30499270,VET-911864,Cardiología
47892138,VET-344165,Cardiología
22935097,VET-559354,Cirugía
15726394,VET-168181,Cirugía
12356468,VET-532363,Cirugía
60804622,VET-480321,Cirugía
12489607,VET-045105,Dermatología
30328538,VET-782658,Cirugía
86908599,VET-461726,Dermatología
